add-s,4,20,160,171874,1074,0
add-yield-s,4,20,160,262424,1640,0
add-c,4,20,160,148766,929,0
add-yield-c,4,20,160,254727,1592,0
add-none,8,20,320,284233,888,0
add-yield-none,8,20,320,306171,956,48
add-m,8,20,320,289301,904,0
add-yield-m,8,20,320,575583,1798,0
add-s,8,20,320,279968,874,0
add-yield-s,8,20,320,562733,1758,0
add-c,8,20,320,273736,855,0
add-yield-c,8,20,320,401204,1253,0
add-none,12,20,480,358943,747,0
add-yield-none,12,20,480,365328,761,85
add-m,12,20,480,346040,720,0
add-yield-m,12,20,480,937053,1952,0
add-s,12,20,480,375023,781,0
add-yield-s,12,20,480,752085,1566,0
add-c,12,20,480,373028,777,0
add-yield-c,12,20,480,541925,1129,0
add-none,1,40,80,109538,1369,0
add-yield-none,1,40,80,175507,2193,0
add-m,1,40,80,129311,1616,0
add-yield-m,1,40,80,190642,2383,0
add-s,1,40,80,129832,1622,0
add-yield-s,1,40,80,194773,2434,0
add-c,1,40,80,158944,1986,0
add-yield-c,1,40,80,201194,2514,0
add-none,2,40,160,158304,989,0
add-yield-none,2,40,160,209561,1309,16
add-m,2,40,160,150503,940,0
add-yield-m,2,40,160,291677,1822,0
add-s,2,40,160,123875,774,0
add-yield-s,2,40,160,249256,1557,0
add-c,2,40,160,126565,791,0
add-yield-c,2,40,160,245323,1533,0
add-none,4,40,320,179025,559,0
add-yield-none,4,40,320,255321,797,17
add-m,4,40,320,166711,520,0
add-yield-m,4,40,320,530997,1659,0
add-s,4,40,320,226176,706,0
add-yield-s,4,40,320,518882,1621,0
add-c,4,40,320,172195,538,0
add-yield-c,4,40,320,443375,1385,0
add-none,8,40,640,257896,402,0
add-yield-none,8,40,640,361204,564,58
add-m,8,40,640,322601,504,0
add-yield-m,8,40,640,1016719,1588,0
add-s,8,40,640,266345,416,0
add-yield-s,8,40,640,864383,1350,0
add-c,8,40,640,286858,448,0
add-yield-c,8,40,640,647624,1011,0
add-none,12,40,960,370906,386,0
add-yield-none,12,40,960,413576,430,54
add-m,12,40,960,347748,362,0
add-yield-m,12,40,960,1590997,1657,0
add-s,12,40,960,366119,381,0
add-yield-s,12,40,960,1527225,1590,0
add-c,12,40,960,391214,407,0
add-yield-c,12,40,960,944276,983,0
add-none,1,80,160,162683,1016,0
add-yield-none,1,80,160,265356,1658,0
add-m,1,80,160,169983,1062,0
add-yield-m,1,80,160,253075,1581,0
add-s,1,80,160,198002,1237,0
add-yield-s,1,80,160,266516,1665,0
add-c,1,80,160,153270,957,0
add-yield-c,1,80,160,267027,1668,0
add-none,2,80,320,206426,645,0
add-yield-none,2,80,320,324853,1015,66
add-m,2,80,320,205762,643,0
add-yield-m,2,80,320,454927,1421,0
add-s,2,80,320,122092,381,0
add-yield-s,2,80,320,392261,1225,0
add-c,2,80,320,209303,654,0
add-yield-c,2,80,320,364363,1138,0
add-none,4,80,640,208482,325,41
add-yield-none,4,80,640,339904,531,0
add-m,4,80,640,190438,297,0
add-yield-m,4,80,640,902638,1410,0
add-s,4,80,640,274143,428,0
add-yield-s,4,80,640,695638,1086,0
add-c,4,80,640,252071,393,0
add-yield-c,4,80,640,564028,881,0
add-none,8,80,1280,282381,220,15
add-yield-none,8,80,1280,415908,324,135
add-m,8,80,1280,413035,322,0
add-yield-m,8,80,1280,2111119,1649,0
add-s,8,80,1280,281051,219,0
add-yield-s,8,80,1280,1698187,1326,0
add-c,8,80,1280,267618,209,0
add-yield-c,8,80,1280,1170458,914,0
add-none,12,80,1920,389392,202,0
add-yield-none,12,80,1920,493374,256,171
add-m,12,80,1920,332587,173,0
add-yield-m,12,80,1920,3173259,1652,0
add-s,12,80,1920,340060,177,0
add-yield-s,12,80,1920,3016261,1570,0
add-c,12,80,1920,342099,178,0
add-yield-c,12,80,1920,1655894,862,0
add-none,1,100,200,140565,702,0
add-yield-none,1,100,200,272806,1364,0
add-m,1,100,200,158543,792,0
add-yield-m,1,100,200,264407,1322,0
add-s,1,100,200,127184,635,0
add-yield-s,1,100,200,296406,1482,0
add-c,1,100,200,149031,745,0
add-yield-c,1,100,200,273752,1368,0
add-none,2,100,400,156773,391,0
add-yield-none,2,100,400,309116,772,24
add-m,2,100,400,155158,387,0
add-yield-m,2,100,400,578131,1445,0
add-s,2,100,400,120470,301,0
add-yield-s,2,100,400,434384,1085,0
add-c,2,100,400,166684,416,0
add-yield-c,2,100,400,398042,995,0
add-none,4,100,800,172439,215,0
add-yield-none,4,100,800,340964,426,43
add-m,4,100,800,181480,226,0
add-yield-m,4,100,800,1198310,1497,0
add-s,4,100,800,162886,203,0
add-yield-s,4,100,800,1031859,1289,0
add-c,4,100,800,181573,226,0
add-yield-c,4,100,800,726870,908,0
add-none,8,100,1600,268255,167,0
add-yield-none,8,100,1600,451104,281,148
add-m,8,100,1600,247283,154,0
add-yield-m,8,100,1600,2558994,1599,0
add-s,8,100,1600,253731,158,0
add-yield-s,8,100,1600,2125831,1328,0
add-c,8,100,1600,353222,220,0
add-yield-c,8,100,1600,1393039,870,0
add-none,12,100,2400,397568,165,53
add-yield-none,12,100,2400,531685,221,187
add-m,12,100,2400,366402,152,0
add-yield-m,12,100,2400,4002161,1667,0
add-s,12,100,2400,2186604,911,0
add-yield-s,12,100,2400,4267756,1778,0
add-c,12,100,2400,347443,144,0
add-yield-c,12,100,2400,2136430,890,0
add-none,1,1000,2000,164846,82,0
add-yield-none,1,1000,2000,1421065,710,0
add-m,1,1000,2000,238725,119,0
add-yield-m,1,1000,2000,1517494,758,0
add-s,1,1000,2000,176544,88,0
add-yield-s,1,1000,2000,1453451,726,0
add-c,1,1000,2000,187165,93,0
add-yield-c,1,1000,2000,1401146,700,0
add-none,2,1000,4000,160884,40,0
add-yield-none,2,1000,4000,1516172,379,44
add-m,2,1000,4000,474989,118,0
add-yield-m,2,1000,4000,4623264,1155,0
add-s,2,1000,4000,188663,47,0
add-yield-s,2,1000,4000,3083281,770,0
add-c,2,1000,4000,245888,61,0
add-yield-c,2,1000,4000,2932249,733,0
add-none,4,1000,8000,262639,32,-651
add-yield-none,4,1000,8000,1786472,223,60
add-m,4,1000,8000,1456742,182,0
add-yield-m,4,1000,8000,10059689,1257,0
add-s,4,1000,8000,545988,68,0
add-yield-s,4,1000,8000,6943764,867,0
